fileName,class
Marketscsv-Nik225chlow-Nik225chhigh-DJIAch.csv,D
collegescsv-LocaleSmallCity-NumberofEmployed8yearsafterentryhigh-UndergradPopulation.csv,N
iriscsv-Speciessetosa-Speciesvirginica-SepalWidth.csv,N
BirdNestcsv-Lengthlow-Lengthhigh-Nesttype.csv,S
Gasolinecsv-yearhigh-yearlow-lgaspcar.csv,S
UScerealcsv-calorieshigh-calorieslow-vitamins.csv,S
collegescsv-LocaleMidsizeCity-MedianFamilyIncomehigh-PellGrantRecipients.csv,D
Backpackcsv-BackProblems1-BackProblems0-BodyWeight.csv,D
collegescsv-LocaleMidsizeCity-LocaleRemoteTown-AdmissionRate.csv,S
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-LogWetFrass.csv,N
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-DryFrass.csv,S
citiescsv-Englishspeaking0-Englishspeaking1-Threatofterrorism.csv,N
admitcsv-female0-female1-grequant.csv,S
UScerealcsv-proteinlow-proteinhigh-carbo.csv,N
Caterpillarscsv-FgpY-FgpN-Nfrass.csv,S
aiscsv-bmihigh-bmilow-ssf.csv,N
Benefitscsv-statemblow-statembhigh-yrdispl.csv,D
MCAScsv-regdayhigh-regdaylow-totsc4.csv,N
citiescsv-ContinentAfrica-ContinentAsia-Availabilityofsportingfacilities.csv,D
UScerealcsv-shelf3-shelf1-calories.csv,D
Bostoncsv-crimhigh-crimlow-medv.csv,D
Gasolinecsv-lincomephigh-lincomeplow-year.csv,D
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-Cassim.csv,N
Pimatecsv-typeYes-typeNo-ped.csv,S
Ericksencsv-minoritylow-minorityhigh-highschool.csv,D
sorptioncsv-year1989-year1988-ct.csv,S
epilcsv-lagehigh-lagelow-trt.csv,D
Bostoncsv-blackhigh-blacklow-indus.csv,N
Caterpillarscsv-FgpY-FgpN-LogDryFrass.csv,N
aiscsv-hthigh-htlow-rcc.csv,D
Melanomacsv-thicknesslow-thicknesshigh-time.csv,D
UScerealcsv-proteinlow-proteinhigh-calories.csv,D
Melanomacsv-thicknesslow-thicknesshigh-year.csv,N
tintingcsv-agegpolder-agegpyounger-it.csv,D
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-Mgp.csv,S
Clothingcsv-Card1-Card0-Dollar12.csv,N
newspamcsv-yesnoy-yesnon-bang.csv,D
Participationcsv-foreignyes-foreignno-lnnlinc.csv,N
collegescsv-LocaleSmallCity-LocaleRemoteRural-SATAverage.csv,D
citiescsv-ContinentAfrica-CountryUSA-QualityofGasprovision.csv,D
gilgaiscsv-c80high-c80low-pH80.csv,D
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-LogNfrass.csv,S
RiceFarmscsv-pphosphlow-pphosphhigh-pseed.csv,D
citiescsv-CountryThailand-CountryChina-Distancetonearestairportinmiles.csv,D
Capmcsv-rfoodhigh-rfoodlow-rcon.csv,D
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-LogCassim.csv,S
Pimatecsv-bmihigh-bmilow-glu.csv,N
Rabbitcsv-TreatmentMDL-TreatmentControl-BPchange.csv,S
aiscsv-bmihigh-bmilow-hc.csv,D
UScerealcsv-carbolow-carbohigh-protein.csv,D
Bostoncsv-crimhigh-crimlow-black.csv,D
BirdNestcsv-Nesttypecup-Nesttypecavity-Length.csv,N
UScerealcsv-vitaminsenriched-vitamins100-calories.csv,N
RiceFarmscsv-wagehigh-wagelow-pseed.csv,D
Pimatecsv-agehigh-agelow-bp.csv,N
leafshapecsv-latitudehigh-latitudelow-bladewid.csv,S
vote92csv-voteClinton-voteBush-clintondis.csv,D
UScerealcsv-shelf3-shelf1-sodium.csv,S
Bostoncsv-blackhigh-blacklow-age.csv,S
Malescsv-school15-school9-wage.csv,D
Gasolinecsv-lgaspcarlow-lgaspcarhigh-lincomep.csv,S
VAcsv-cell4-cell1-diagtime.csv,N
Salariescsv-rankProf-rankAssocProf-yrsservice.csv,D
admitcsv-grequanthigh-grequantlow-greverbal.csv,D
citiescsv-ContinentAfrica-ContinentAsia-Qualityofprivatehealthcareprovision.csv,D
UKHouseOfCommonscsv-labinc1-labinc0-v3.csv,D
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-Nassim.csv,S
Backpackcsv-BackpackWeightlow-BackpackWeighthigh-Sex.csv,D
Caterpillarscsv-FgpY-FgpN-DryFrass.csv,S
Pimatecsv-agehigh-agelow-bmi.csv,S
citiescsv-CountryThailand-CountryChina-Olympicshosting.csv,N
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-LogIntake.csv,N
collegescsv-LocaleMidsizeCity-FederalLoanslow-FederalLoans.csv,N
Caschoolcsv-testscrhigh-testscrlow-distcod.csv,N
collegescsv-LocaleMidsizeCity-LocaleRemoteTown-PellGrantRecipients.csv,S
