fileName,class
citiescsv-CountryThailand-CountryChina-Qualityofpublichealthcareprovision.csv,N
Caschoolcsv-grspanKK08-grspanKK06-distcod.csv,N
Backpackcsv-BackpackWeightlow-BackpackWeighthigh-BodyWeight.csv,S
transplantcsv-yearhigh-yearlow-futime.csv,N
pbccsv-bilihigh-bililow-albumin.csv,S
Greenecsv-languageEnglish-languageFrench-nation.csv,N
Bostoncsv-blackhigh-blacklow-medv.csv,S
tintingcsv-agegpolder-agegpyounger-csoa.csv,N
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-LogNassim.csv,S
Bostoncsv-blackhigh-blacklow-nox.csv,S
Crimecsv-densitylow-densityhigh-wfed.csv,D
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-LogDryFrass.csv,S
Melanomacsv-yearhigh-yearlow-status.csv,N
tintingcsv-sexm-sexf-agegp.csv,S
admitcsv-grequanthigh-grequantlow-score.csv,D
citiescsv-ContinentAfrica-ContinentAsia-Threatofmilitaryconflict.csv,N
BirdNestcsv-Lengthlow-Lengthhigh-Page.csv,N
collegescsv-UndergradswithPellGranthigh-LocaleFringeTown-PellGrantRecipients.csv,D
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-Mass.csv,N
birthwtcsv-bwtlow-bwthigh-smoke.csv,D
Daviscsv-rephthigh-rephtlow-height.csv,D
citiescsv-ContinentAfrica-CountryUSA-Discomfortofclimatetotravellers.csv,D
Caschoolcsv-testscrhigh-testscrlow-avginc.csv,N
stVincentcsv-harvwthigh-harvwtlow-trt.csv,S
cps3csv-educlow-educhigh-age.csv,S
UKHouseOfCommonscsv-coninc1-coninc0-v3.csv,S
Gasolinecsv-yearhigh-yearlow-lincomep.csv,N
Caschoolcsv-testscrhigh-testscrlow-elpct.csv,D
birthwtcsv-ftvlow-ftvhigh-age.csv,N
Caterpillarscsv-FgpY-FgpN-WetFrass.csv,S
collegescsv-LocaleFringeTown-LocaleDistantTown-AverageCost.csv,S
Pimatecsv-typeYes-typeNo-bmi.csv,S
cementcsv-nov0-nov1-gprc.csv,N
VAcsv-status0-status1-cell.csv,S
citiescsv-Englishspeaking0-Englishspeaking1-Over3Mpeopleincityproper.csv,N
frogscsv-meanminlow-meanminhigh-distance.csv,S
Daviscsv-sexF-sexM-weight.csv,D
environmentalcsv-temperaturelow-temperaturehigh-radiation.csv,N
sorptioncsv-year1989-year1988-m10.csv,S
Bostoncsv-crimhigh-crimlow-lstat.csv,D
Capmcsv-rfoodhigh-rfoodlow-rdur.csv,D
Caterpillarscsv-FgpY-FgpN-LogMass.csv,N
cementcsv-rnonchigh-rnonclow-gmilemp.csv,S
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-Intake.csv,S
citiescsv-ContinentAfrica-ContinentAsia-Availabilityofoverthecounterdrugs.csv,S
gilgaiscsv-pH80high-pH80low-pH30.csv,N
vote92csv-natlecon1-natlecon1-perotdis.csv,N
cps3csv-re74low-re74high-re75.csv,D
BirdNestcsv-Closed1-Closed0-Length.csv,N
Crimecsv-crmrtehigh-crmrtelow-density.csv,D
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-LogMass.csv,S
citiescsv-ContinentAfrica-CountryUSA-Threatofterrorism.csv,S
Ginzbergcsv-adjfatalhigh-adjfatallow-adjdep.csv,S
collegescsv-LocaleSmallCity-NumberofEmployed8yearsafterentryhigh-Control.csv,D
UScerealcsv-proteinlow-proteinhigh-shelf.csv,N
UScerealcsv-vitaminsenriched-vitamins100-sugars.csv,N
Clothingcsv-Amounthigh-Amountlow-Freq12.csv,S
collegescsv-LocaleMidsizeCity-LocaleRemoteTown-UndergradswithPellGrant.csv,S
citiescsv-ContinentAfrica-ContinentAsia-Availabilityofmodernmusicconcerts.csv,S
gilgaiscsv-c80high-c80low-pH30.csv,S
Caterpillarscsv-FgpY-FgpN-Mass.csv,D
Bostoncsv-crimhigh-crimlow-rm.csv,S
UKHouseOfCommonscsv-coninc1-coninc0-y1lag.csv,N
collegescsv-LocaleSmallCity-LocaleRemoteTown-MedianDebt.csv,N
admitcsv-female0-female1-greverbal.csv,S
Caterpillarscsv-FgpY-FgpN-LogIntake.csv,S
Cigarettecsv-cpilow-cpihigh-tax.csv,D
citiescsv-ContinentAfrica-ContinentAsia-Availabilityofqualitytheatreproductions.csv,N
cementcsv-rnonchigh-rnonclow-ip.csv,D
UKHouseOfCommonscsv-y1laghigh-y1laglow-v3.csv,N
Gasolinecsv-lgaspcarlow-lgaspcarhigh-lcarpcap.csv,D
leafshapecsv-locationSabah-locationCostaRica-logpet.csv,S
VAcsv-status0-status1-age.csv,S
VAcsv-prior0-prior10-cell.csv,S
citiescsv-ContinentAfrica-ContinentAsia-Availabilityofwellknownsportsevents.csv,D
