fileName,class
citiescsv-ContinentAfrica-ContinentAsia-Threatofmilitaryconflict.csv,S
Caterpillarscsv-FgpY-FgpN-LogMass.csv,N
citiescsv-ContinentAfrica-ContinentAsia-Availabilityofqualitytheatreproductions.csv,S
Daviscsv-rephthigh-rephtlow-height.csv,D
Caschoolcsv-testscrhigh-testscrlow-avginc.csv,D
BirdNestcsv-Lengthlow-Lengthhigh-Page.csv,N
Melanomacsv-yearhigh-yearlow-status.csv,S
birthwtcsv-ftvlow-ftvhigh-age.csv,N
pbccsv-bilihigh-bililow-albumin.csv,S
cementcsv-rnonchigh-rnonclow-ip.csv,D
gilgaiscsv-c80high-c80low-pH30.csv,N
admitcsv-female0-female1-greverbal.csv,D
cementcsv-nov0-nov1-gprc.csv,S
leafshapecsv-locationSabah-locationCostaRica-logpet.csv,S
Daviscsv-sexF-sexM-weight.csv,N
cps3csv-educlow-educhigh-age.csv,S
VAcsv-status0-status1-cell.csv,N
citiescsv-ContinentAfrica-ContinentAsia-Availabilityofoverthecounterdrugs.csv,S
citiescsv-Englishspeaking0-Englishspeaking1-Over3Mpeopleincityproper.csv,D
citiescsv-ContinentAfrica-CountryUSA-Discomfortofclimatetotravellers.csv,D
BirdNestcsv-Closed1-Closed0-Length.csv,S
collegescsv-LocaleMidsizeCity-LocaleRemoteTown-UndergradswithPellGrant.csv,N
collegescsv-LocaleSmallCity-NumberofEmployed8yearsafterentryhigh-Control.csv,D
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-LogDryFrass.csv,S
frogscsv-meanminlow-meanminhigh-distance.csv,S
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-LogMass.csv,N
Cigarettecsv-cpilow-cpihigh-tax.csv,D
citiescsv-CountryThailand-CountryChina-Qualityofpublichealthcareprovision.csv,D
Caschoolcsv-grspanKK08-grspanKK06-distcod.csv,D
UKHouseOfCommonscsv-coninc1-coninc0-v3.csv,D
Caterpillarscsv-FgpY-FgpN-LogIntake.csv,S
vote92csv-natlecon1-natlecon1-perotdis.csv,N
tintingcsv-sexm-sexf-agegp.csv,D
Bostoncsv-crimhigh-crimlow-lstat.csv,D
Gasolinecsv-lgaspcarlow-lgaspcarhigh-lcarpcap.csv,D
cps3csv-re74low-re74high-re75.csv,D
admitcsv-grequanthigh-grequantlow-score.csv,D
sorptioncsv-year1989-year1988-m10.csv,S
birthwtcsv-bwtlow-bwthigh-smoke.csv,N
stVincentcsv-harvwthigh-harvwtlow-trt.csv,N
Greenecsv-languageEnglish-languageFrench-nation.csv,D
cementcsv-rnonchigh-rnonclow-gmilemp.csv,S
collegescsv-LocaleSmallCity-LocaleRemoteTown-MedianDebt.csv,N
UScerealcsv-vitaminsenriched-vitamins100-sugars.csv,D
Capmcsv-rfoodhigh-rfoodlow-rdur.csv,N
citiescsv-ContinentAfrica-ContinentAsia-Availabilityofwellknownsportsevents.csv,D
environmentalcsv-temperaturelow-temperaturehigh-radiation.csv,N
Crimecsv-densitylow-densityhigh-wfed.csv,D
Bostoncsv-blackhigh-blacklow-nox.csv,S
Bostoncsv-crimhigh-crimlow-rm.csv,S
VAcsv-status0-status1-age.csv,N
UScerealcsv-proteinlow-proteinhigh-shelf.csv,D
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-Mass.csv,S
tintingcsv-agegpolder-agegpyounger-csoa.csv,N
Caschoolcsv-testscrhigh-testscrlow-elpct.csv,D
citiescsv-ContinentAfrica-CountryUSA-Threatofterrorism.csv,D
collegescsv-LocaleFringeTown-LocaleDistantTown-AverageCost.csv,S
Backpackcsv-BackpackWeightlow-BackpackWeighthigh-BodyWeight.csv,S
transplantcsv-yearhigh-yearlow-futime.csv,D
Gasolinecsv-yearhigh-yearlow-lincomep.csv,N
Crimecsv-crmrtehigh-crmrtelow-density.csv,D
gilgaiscsv-pH80high-pH80low-pH30.csv,N
Pimatecsv-typeYes-typeNo-bmi.csv,S
UKHouseOfCommonscsv-y1laghigh-y1laglow-v3.csv,N
Bostoncsv-blackhigh-blacklow-medv.csv,S
Caterpillarscsv-FgpY-FgpN-Mass.csv,D
UKHouseOfCommonscsv-coninc1-coninc0-y1lag.csv,S
VAcsv-prior0-prior10-cell.csv,N
collegescsv-UndergradswithPellGranthigh-LocaleFringeTown-PellGrantRecipients.csv,N
Ginzbergcsv-adjfatalhigh-adjfatallow-adjdep.csv,D
Clothingcsv-Amounthigh-Amountlow-Freq12.csv,D
Caterpillarscsv-FgpY-FgpN-WetFrass.csv,S
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-LogNassim.csv,S
Caterpillarscsv-ActiveFeedingN-ActiveFeedingY-Intake.csv,S
citiescsv-ContinentAfrica-ContinentAsia-Availabilityofmodernmusicconcerts.csv,N
